index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,114.2200012207031,49.25736236572266,-123.2431106567383,119.2200012207031,-9.810000419616699,5.949999809265137
2,114.4599990844727,49.25735855102539,-123.2431106567383,119.2399978637695,-10.02000045776367,6.050000190734863
3,114.7200012207031,49.25736236572266,-123.2431106567383,119.2300033569336,-9.819999694824219,5.989999771118164
4,114.9599990844727,49.25735855102539,-123.2431106567383,119.0500030517578,-8.949999809265137,-1.850000023841858
5,114.9599990844727,49.25735855102539,-123.2430953979492,119.120002746582,-9,-2.519999980926514
6,114.9700012207031,49.25735473632812,-123.2430877685547,123.3399963378906,-9.380000114440918,-5.059999942779541
7,114.9700012207031,49.25735092163086,-123.2430877685547,123.4499969482422,-9.489999771118164,-6.389999866485596
8,114.9700012207031,49.25734710693359,-123.2430725097656,122.3300018310547,-9.220000267028809,-8.189999580383301
9,114.9700012207031,49.25734329223633,-123.2430572509766,121.4300003051758,-8.949999809265137,-9.319999694824219
10,114.9700012207031,49.25733947753906,-123.243049621582,121.4199981689453,-8.960000038146973,-9.560000419616699
11,114.9700012207031,49.2573356628418,-123.243034362793,121.9100036621094,-9.25,-9.649999618530273
12,114.9700012207031,49.25732803344727,-123.2430191040039,122.2200012207031,-9.380000114440918,-9.880000114440918
13,114.9700012207031,49.25732421875,-123.2430114746094,122.129997253418,-9.260000228881836,-10.13000011444092
14,114.9700012207031,49.25731658935547,-123.2429962158203,121.9199981689453,-9.239999771118164,-10.46000003814697
15,114.9800033569336,49.2573127746582,-123.2429809570312,121.8199996948242,-9.270000457763672,-10.76000022888184
16,114.9800033569336,49.25730514526367,-123.2429733276367,121.8499984741211,-9.289999961853027,-10.85000038146973
17,114.9800033569336,49.25729751586914,-123.2429580688477,121.9499969482422,-9.279999732971191,-11.01000022888184
18,114.9800033569336,49.25729370117188,-123.2429275512695,122.0100021362305,-9.229999542236328,-11.14000034332275
