index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,114.1500015258789,49.25736236572266,-123.2431106567383,119.2099990844727,-9.630000114440918,5.820000171661377
2,114.5899963378906,49.25735855102539,-123.2431106567383,119.2399978637695,-9.930000305175781,6.110000133514404
3,114.6999969482422,49.25736236572266,-123.2431106567383,119.2399978637695,-9.869999885559082,5.960000038146973
4,114.9199981689453,49.25735855102539,-123.2431106567383,119.0400009155273,-8.869999885559082,-2.150000095367432
5,114.9400024414062,49.25735855102539,-123.2430953979492,119.1399993896484,-8.760000228881836,-2.619999885559082
6,114.9499969482422,49.25735855102539,-123.2430877685547,122.4599990844727,-8.989999771118164,-4.440000057220459
7,114.9599990844727,49.25735473632812,-123.2430877685547,124.5500030517578,-9.529999732971191,-4.889999866485596
8,114.9599990844727,49.25735092163086,-123.2430725097656,124.1699981689453,-9.489999771118164,-6.449999809265137
9,114.9599990844727,49.25734710693359,-123.2430725097656,122.5699996948242,-9.159999847412109,-8.380000114440918
10,114.9599990844727,49.25734329223633,-123.2430572509766,121.5400009155273,-8.899999618530273,-9.449999809265137
11,114.9700012207031,49.25733947753906,-123.243049621582,121.6600036621094,-9,-9.659999847412109
12,114.9700012207031,49.2573356628418,-123.243034362793,122.2600021362305,-9.289999961853027,-9.760000228881836
13,114.9700012207031,49.25732803344727,-123.2430191040039,122.5199966430664,-9.390000343322754,-9.920000076293945
14,114.9700012207031,49.25732040405273,-123.2430114746094,122.3300018310547,-9.289999961853027,-10.22999954223633
15,114.9700012207031,49.25731658935547,-123.2429962158203,122.0400009155273,-9.25,-10.51000022888184
16,114.9700012207031,49.25730895996094,-123.2429809570312,121.9300003051758,-9.220000267028809,-10.72000026702881
17,114.9700012207031,49.25730514526367,-123.2429733276367,122.0100021362305,-9.189999580383301,-10.80000019073486
18,114.9700012207031,49.25729751586914,-123.2429428100586,122.129997253418,-9.289999961853027,-10.94999980926514
19,114.9700012207031,49.25729370117188,-123.2429275512695,122.1699981689453,-9.319999694824219,-11.1899995803833
20,114.9800033569336,49.25728225708008,-123.242919921875,122.1100006103516,-9.319999694824219,-11.27999973297119
21,114.9800033569336,49.25727844238281,-123.2429046630859,122.0999984741211,-9.239999771118164,-11.4399995803833
22,114.9800033569336,49.25727081298828,-123.2428817749023,122.129997253418,-9.189999580383301,-11.5600004196167
23,114.9800033569336,49.25726318359375,-123.2428665161133,122.1800003051758,-9.199999809265137,-11.64999961853027
24,114.9800033569336,49.25725936889648,-123.2428512573242,122.2300033569336,-9.25,-11.72000026702881
25,114.9800033569336,49.25725173950195,-123.2428283691406,122.2600021362305,-9.239999771118164,-11.81999969482422
26,114.9800033569336,49.25724029541016,-123.2428131103516,122.25,-9.189999580383301,-11.82999992370605
27,114.9800033569336,49.25723648071289,-123.242790222168,122.2799987792969,-9.229999542236328,-11.97999954223633
28,114.9800033569336,49.25722885131836,-123.2427749633789,122.3000030517578,-9.210000038146973,-12.10000038146973
29,114.9899978637695,49.25722122192383,-123.2427673339844,122.3099975585938,-9.220000267028809,-12.09000015258789
30,114.9899978637695,49.2572135925293,-123.2427368164062,122.3300018310547,-9.170000076293945,-12.10999965667725
31,114.9899978637695,49.25720596313477,-123.2427291870117,122.3600006103516,-9.199999809265137,-12.21000003814697
32,114.9899978637695,49.25719833374023,-123.2426986694336,122.3499984741211,-9.220000267028809,-12.21000003814697
33,114.9899978637695,49.2571907043457,-123.2426910400391,122.3600006103516,-9.159999847412109,-12.27000045776367
34,114.9899978637695,49.25718307495117,-123.2426605224609,122.370002746582,-9.189999580383301,-12.31999969482422
35,114.9899978637695,49.25717544555664,-123.2426528930664,122.379997253418,-9.210000038146973,-12.34000015258789
36,114.9899978637695,49.25716781616211,-123.2426223754883,122.4000015258789,-9.119999885559082,-12.38000011444092
37,114.9899978637695,49.25716018676758,-123.2426147460938,122.4000015258789,-9.149999618530273,-12.44999980926514
38,114.9899978637695,49.25715255737305,-123.2425994873047,122.3899993896484,-9.210000038146973,-12.40999984741211
39,114.9899978637695,49.25714492797852,-123.2425765991211,122.4000015258789,-9.210000038146973,-12.47999954223633
40,114.9899978637695,49.25713729858398,-123.242561340332,122.4000015258789,-9.159999847412109,-12.52000045776367
41,114.9899978637695,49.25712966918945,-123.2425308227539,122.379997253418,-9.100000381469727,-12.51000022888184
