Date, Time, mavlink_terrain_report_t.current_height, mavlink_gps_raw_int_t.lat, mavlink_gps_raw_int_t.lon, mavlink_attitude_t.yaw, mavlink_attitude_t.roll, mavlink_attitude_t.pitch
2018-09-25, 3:37:13 , -5.322284, 492573020, -1232430924, 1.572395, -0.005636693, -0.01332449
2018-09-25, 3:37:15 , -5.322284, 492573093, -1232430876, 1.572395, -0.005636693, -0.01332449
2018-09-25, 3:37:15 , -5.322284, 492573093, -1232430876, 1.578401, -0.006597054, -0.01292426
2018-09-25, 3:37:15 , -5.346198, 492573093, -1232430876, 1.578401, -0.006597054, -0.01292426
2018-09-25, 3:37:16 , -5.346198, 492573093, -1232430876, 1.582964, -0.005892374, -0.01295128
2018-09-25, 3:37:17 , -5.346198, 492573060, -1232430856, 1.582964, -0.005892374, -0.01295128
2018-09-25, 3:37:17 , -5.268861, 492573060, -1232430856, 1.582964, -0.005892374, -0.01295128
2018-09-25, 3:37:18 , -5.268861, 492573060, -1232430856, 1.588183, -0.00455732, -0.01265178
2018-09-25, 3:37:19 , -5.268861, 492573060, -1232430856, 1.5917, -0.003239351, -0.01161013
2018-09-25, 3:37:19 , -5.268861, 492573108, -1232430897, 1.5917, -0.003239351, -0.01161013
2018-09-25, 3:37:20 , -5.158014, 492573108, -1232430897, 1.5917, -0.003239351, -0.01161013
2018-09-25, 3:37:21 , -5.158014, 492573108, -1232430897, 1.595452, -0.003461349, -0.01043386
2018-09-25, 3:37:21 , -5.158014, 492573108, -1232430897, 1.598676, -0.005539408, -0.009927797
2018-09-25, 3:37:22 , -5.158014, 492573154, -1232430896, 1.598676, -0.005539408, -0.009927797
2018-09-25, 3:37:22 , -5.172599, 492573154, -1232430896, 1.598676, -0.005539408, -0.009927797
2018-09-25, 3:37:23 , -5.172599, 492573154, -1232430896, 1.601541, -0.004071695, -0.009101458
2018-09-25, 3:37:24 , -5.172599, 492573154, -1232430896, 1.603817, -0.003496127, -0.01002437
2018-09-25, 3:37:24 , -5.172599, 492573163, -1232430902, 1.603817, -0.003496127, -0.01002437
2018-09-25, 3:37:24 , -4.942569, 492573163, -1232430902, 1.603817, -0.003496127, -0.01002437
2018-09-25, 3:37:25 , -4.942569, 492573163, -1232430902, 1.606453, -0.002978923, -0.01167859
2018-09-25, 3:37:26 , -4.942569, 492573237, -1232431019, 1.606453, -0.002978923, -0.01167859
2018-09-25, 3:37:26 , -4.942569, 492573237, -1232431019, 1.609157, -0.003729241, -0.0108878
2018-09-25, 3:37:26 , -5.074598, 492573237, -1232431019, 1.609157, -0.003729241, -0.0108878
2018-09-25, 3:37:27 , -5.074598, 492573237, -1232431019, 1.611821, -0.004324574, -0.01020685
2018-09-25, 3:37:28 , -5.074598, 492573243, -1232431077, 1.611821, -0.004324574, -0.01020685
2018-09-25, 3:37:28 , -5.235483, 492573243, -1232431077, 1.611821, -0.004324574, -0.01020685
2018-09-25, 3:37:29 , -5.235483, 492573243, -1232431077, 1.613965, -0.003871926, -0.009870399
2018-09-25, 3:37:29 , -5.235483, 492573243, -1232431077, 1.615647, -0.002676405, -0.01145272
2018-09-25, 3:37:30 , -5.235483, 492573229, -1232431072, 1.615647, -0.002676405, -0.01145272
2018-09-25, 3:37:30 , -5.213461, 492573229, -1232431072, 1.615647, -0.002676405, -0.01145272
2018-09-25, 3:37:31 , -5.213461, 492573229, -1232431072, 1.617402, -0.001793851, -0.01188098
2018-09-25, 3:37:31 , -5.213461, 492573229, -1232431072, 1.617838, -0.001936113, -0.01193263
2018-09-25, 3:37:31 , -5.213461, 492573247, -1232431066, 1.617838, -0.001936113, -0.01193263
2018-09-25, 3:37:31 , -5.213461, 492573247, -1232431066, 1.618332, -0.002163053, -0.01203378
2018-09-25, 3:37:31 , -5.213515, 492573247, -1232431066, 1.618332, -0.002163053, -0.01203378
2018-09-25, 3:37:32 , -5.213515, 492573247, -1232431066, 1.618726, -0.002325222, -0.01219358
2018-09-25, 3:37:32 , -5.213515, 492573252, -1232431076, 1.618726, -0.002325222, -0.01219358
2018-09-25, 3:37:32 , -5.213515, 492573252, -1232431076, 1.619228, -0.002606808, -0.01219514
2018-09-25, 3:37:32 , -5.223858, 492573252, -1232431076, 1.619228, -0.002606808, -0.01219514
2018-09-25, 3:37:32 , -5.223858, 492573252, -1232431076, 1.619678, -0.002882079, -0.01216682
2018-09-25, 3:37:32 , -5.223858, 492573282, -1232431073, 1.619678, -0.002882079, -0.01216682
2018-09-25, 3:37:32 , -5.223858, 492573282, -1232431073, 1.620044, -0.003177801, -0.01228042
2018-09-25, 3:37:32 , -5.224469, 492573282, -1232431073, 1.620044, -0.003177801, -0.01228042
2018-09-25, 3:37:33 , -5.224469, 492573282, -1232431073, 1.620472, -0.003501795, -0.01249731
2018-09-25, 3:37:33 , -5.224469, 492573286, -1232431069, 1.620472, -0.003501795, -0.01249731
2018-09-25, 3:37:33 , -5.224469, 492573286, -1232431069, 1.620993, -0.003693379, -0.01282477
2018-09-25, 3:37:33 , -5.255582, 492573286, -1232431069, 1.620993, -0.003693379, -0.01282477
2018-09-25, 3:37:33 , -5.255582, 492573286, -1232431069, 1.621503, -0.003984094, -0.0131785
2018-09-25, 3:37:33 , -5.255582, 492573296, -1232431076, 1.621503, -0.003984094, -0.0131785
2018-09-25, 3:37:34 , -5.255582, 492573296, -1232431076, 1.62206, -0.004220042, -0.01347956
2018-09-25, 3:37:34 , -5.266796, 492573296, -1232431076, 1.62206, -0.004220042, -0.01347956
2018-09-25, 3:37:34 , -5.266796, 492573296, -1232431076, 1.622591, -0.004295243, -0.01372183
2018-09-25, 3:37:34 , -5.266796, 492573297, -1232431071, 1.622591, -0.004295243, -0.01372183
2018-09-25, 3:37:34 , -5.266796, 492573297, -1232431071, 1.623108, -0.004384458, -0.01403169
2018-09-25, 3:37:34 , -5.328047, 492573297, -1232431071, 1.623108, -0.004384458, -0.01403169
2018-09-25, 3:37:34 , -5.328047, 492573297, -1232431071, 1.62362, -0.00445205, -0.01425668
2018-09-25, 3:37:35 , -5.328047, 492573295, -1232431059, 1.62362, -0.00445205, -0.01425668
2018-09-25, 3:37:35 , -5.378695, 492573295, -1232431059, 1.62362, -0.00445205, -0.01425668
2018-09-25, 3:37:35 , -5.378695, 492573295, -1232431059, 1.62441, -0.003991929, -0.01473268
2018-09-25, 3:37:35 , -5.378695, 492573295, -1232431059, 1.625275, -0.003896704, -0.0149615
2018-09-25, 3:37:35 , -5.378695, 492573311, -1232431031, 1.625275, -0.003896704, -0.0149615
2018-09-25, 3:37:35 , -5.409847, 492573311, -1232431031, 1.625275, -0.003896704, -0.0149615
2018-09-25, 3:37:36 , -5.409847, 492573311, -1232431031, 1.62582, -0.004081161, -0.01511172
2018-09-25, 3:37:36 , -5.409847, 492573313, -1232431029, 1.62582, -0.004081161, -0.01511172
2018-09-25, 3:37:36 , -5.401373, 492573313, -1232431029, 1.62582, -0.004081161, -0.01511172
2018-09-25, 3:37:36 , -5.401373, 492573313, -1232431029, 1.626715, -0.004354168, -0.01510184
2018-09-25, 3:37:36 , -5.401373, 492573313, -1232431029, 1.627967, -0.004133265, -0.01518162
2018-09-25, 3:37:36 , -5.401373, 492573332, -1232431033, 1.627967, -0.004133265, -0.01518162
2018-09-25, 3:37:37 , -5.412823, 492573332, -1232431033, 1.627967, -0.004133265, -0.01518162
2018-09-25, 3:37:37 , -5.412823, 492573332, -1232431033, 1.629227, -0.003444783, -0.01493301
2018-09-25, 3:37:37 , -5.412823, 492573325, -1232431034, 1.629227, -0.003444783, -0.01493301
