index,height (m) sea level,lat,lon,yaw(degree),roll(dgree),pitch(degree)
1,114.0500031,49.2573344,-123.2430386,119.1200027,0.100000001,0.090000004
2,114.8899994,49.2573344,-123.2430386,119.1200027,0.460000008,-7.630000114
3,114.9100037,49.2573254,-123.2430205,119.1299973,0.469999999,-8.260000229
4,114.9499969,49.2573254,-123.2430205,123.8600006,-0.800000012,-11.73999977
5,114.9499969,49.2573254,-123.2430205,123.5100021,-0.74000001,-12.92000008
6,114.9499969,49.2573254,-123.2430205,122.1500015,0.029999999,-14.22000027
7,114.9599991,49.257311,-123.2429889,121.4499969,0.319999993,-14.92000008
8,114.9599991,49.257311,-123.2429889,121.7099991,0.079999998,-15.22999954
9,114.9599991,49.257311,-123.2429889,122.2200012,-0.25,-15.59000015
10,114.9599991,49.2572926,-123.2429509,122.4000015,-0.330000013,-15.85999966
11,114.9700012,49.2572926,-123.2429509,122.2200012,-0.209999993,-16.01000023
12,114.9700012,49.2572926,-123.2429509,122.0199966,-0.029999999,-16.21999931
13,114.9700012,49.2572926,-123.2429509,122,-0.109999999,-16.37999916
14,114.9700012,49.2572784,-123.24292,122.1100006,-0.150000006,-16.53000069
15,114.9700012,49.2572784,-123.24292,122.1800003,-0.140000001,-16.62999916
16,114.9700012,49.2572784,-123.24292,122.1800003,-0.180000007,-16.81999969
17,114.9700012,49.2572602,-123.2428758,122.1500015,-0.159999996,-17.03000069
18,114.9800034,49.2572602,-123.2428758,122.1399994,-0.170000002,-17.09000015
19,114.9800034,49.2572602,-123.2428758,122.1600037,-0.109999999,-17.20999908
20,114.9800034,49.2572602,-123.2428758,122.1900024,-0.07,-17.31999969
21,114.9800034,49.2572427,-123.2428281,122.2300034,-0.059999999,-17.40999985
22,114.9800034,49.2572427,-123.2428281,122.25,-0.100000001,-17.45999908
23,114.9800034,49.2572427,-123.2428281,122.2699966,-0.090000004,-17.54999924
24,114.9800034,49.2572196,-123.2427672,122.2699966,-0.07,-17.56999969
25,114.9800034,49.2572196,-123.2427672,122.2600021,-0.119999997,-17.69000053
26,114.9800034,49.2571997,-123.2427064,122.2600021,-0.050000001,-17.79000092
27,114.9800034,49.2571997,-123.2427064,122.2699966,-0.090000004,-17.79000092
28,114.9899979,49.2571997,-123.2427064,122.2699966,-0.059999999,-17.79000092
29,114.9899979,49.2571997,-123.2427064,122.2699966,-0.050000001,-17.92000008
30,114.9899979,49.2571799,-123.2426489,122.2699966,-0.059999999,-17.89999962
31,114.9899979,49.2571799,-123.2426489,122.2799988,-0.01,-17.90999985
32,114.9800034,49.2571799,-123.2426489,122.2900009,-0.01,-18
33,114.9800034,49.2571541,-123.2425797,122.3000031,-0.050000001,-17.98999977
34,114.9800034,49.2571541,-123.2425797,122.3000031,0,-18.01000023
35,114.9800034,49.2571541,-123.2425797,122.2900009,0.01,-18.09000015
36,114.9899979,49.2571253,-123.2425087,122.2900009,-0.039999999,-18.04999924
37,114.9899979,49.2571253,-123.2425087,122.2799988,-0.029999999,-18.10000038
38,114.9800034,49.2571253,-123.2425087,122.2699966,0,-18.17000008
39,114.9800034,49.2570935,-123.2424217,122.2699966,0.059999999,-18.11000061
40,114.9899979,49.2570935,-123.2424217,122.2900009,0.039999999,-18.11000061
41,114.9899979,49.2570935,-123.2424217,122.3000031,0.039999999,-18.17000008
42,114.9899979,49.2570935,-123.2424217,122.3000031,0.079999998,-18.28000069
43,114.9800034,49.2570594,-123.2423468,122.3099976,0.07,-18.25
44,114.9800034,49.2570594,-123.2423468,122.3099976,0.029999999,-18.23999977
45,114.9800034,49.2570594,-123.2423468,122.3099976,0.039999999,-18.20000076
46,114.9800034,49.2570255,-123.24227,122.3000031,0.039999999,-18.20999908
47,114.9800034,49.2570255,-123.24227,122.2900009,0.079999998,-18.29000092
48,114.9800034,49.2570255,-123.24227,122.3000031,0.090000004,-18.21999931
49,114.9800034,49.2569912,-123.2421915,122.3099976,0.100000001,-18.25
50,114.9800034,49.2569912,-123.2421915,122.3099976,0.100000001,-18.29999924
51,114.9800034,49.2569912,-123.2421915,122.3099976,0.119999997,-18.29000092
52,114.9800034,49.2569647,-123.2421217,122.3000031,0.100000001,-18.28000069
53,114.9899979,49.2569647,-123.2421217,122.3099976,0.129999995,-18.25
54,114.9899979,49.2569647,-123.2421217,122.3199997,0.109999999,-18.38999939
55,114.9899979,49.2569647,-123.2421217,122.3199997,0.150000006,-18.35000038
56,114.9899979,49.2569371,-123.2420541,122.3099976,0.129999995,-18.29999924
57,114.9899979,49.2569371,-123.2420541,122.3099976,0.109999999,-18.30999947
58,114.9899979,49.2569371,-123.2420541,122.3000031,0.079999998,-18.36000061
59,114.9899979,49.2569258,-123.2420212,122.2900009,0.079999998,-18.23999977
60,114.9899979,49.2569258,-123.2420212,122.2900009,0.129999995,-17.62000084
61,114.9899979,49.2569258,-123.2420212,122.3000031,0.07,-16.79000092
62,114.9899979,49.2569269,-123.2420108,122.3000031,0.119999997,-15.82999992
63,114.9899979,49.2569269,-123.2420108,122.3099976,0.219999999,-14.64999962
