index,height (m) sea level,lat,lon,yaw(degree),roll(dgree),pitch(degree)
1,114.7915,49.257345,-123.2430821,119.9591995,3.057070747,-1.927274751
2,114.8791,49.257345,-123.2430821,119.9591995,3.057070747,-1.927274751
3,114.8791,49.257345,-123.2430821,121.2268687,3.299407257,-0.746771418
4,114.8791,49.2573411,-123.2430618,121.2268687,3.299407257,-0.746771418
5,114.8791,49.2573411,-123.2430618,121.1251687,5.599757747,0.708081297
6,114.94765,49.2573411,-123.2430618,121.1251687,5.599757747,0.708081297
7,114.94765,49.2573411,-123.2430618,121.7794865,6.878610432,0.146868449
8,114.94765,49.2573326,-123.2430339,121.7794865,6.878610432,0.146868449
9,114.94765,49.2573326,-123.2430339,122.5830598,3.910714836,0.397419741
10,114.9595,49.2573326,-123.2430339,122.5830598,3.910714836,0.397419741
11,114.9595,49.2573258,-123.2430211,122.5830598,3.910714836,0.397419741
12,114.9595,49.2573258,-123.2430211,121.5363232,2.163862203,-0.341475168
13,114.9595,49.2573258,-123.2430211,121.6675878,1.212446876,-0.581550443
14,114.96299,49.2573258,-123.2430211,121.6675878,1.212446876,-0.581550443
15,114.96299,49.2573114,-123.242991,121.6675878,1.212446876,-0.581550443
16,114.96299,49.2573114,-123.242991,120.2977603,1.719838819,0.53281769
17,114.96299,49.2573114,-123.242991,122.5662721,1.476578701,0.390656433
18,114.95595,49.2573114,-123.242991,122.5662721,1.476578701,0.390656433
19,114.95595,49.257299,-123.2429636,122.5662721,1.476578701,0.390656433
20,114.95595,49.257299,-123.2429636,122.6566275,1.814788812,1.243576819
21,114.95952,49.257299,-123.2429636,122.6566275,1.814788812,1.243576819
22,114.95952,49.2572881,-123.2429364,122.6566275,1.814788812,1.243576819
23,114.95952,49.2572881,-123.2429364,119.8646615,3.625289608,1.739601853
24,114.95952,49.2572881,-123.2429364,120.7702786,2.382476541,0.471951237
25,114.99426,49.2572881,-123.2429364,120.7702786,2.382476541,0.471951237
26,114.99426,49.2572728,-123.2428989,120.7702786,2.382476541,0.471951237
27,114.99426,49.2572728,-123.2428989,122.3747896,2.248053194,-1.1421885
28,114.99426,49.2572623,-123.2428607,122.3747896,2.248053194,-1.1421885
29,115.05869,49.2572623,-123.2428607,122.3747896,2.248053194,-1.1421885
30,115.05869,49.2572623,-123.2428607,122.8956655,2.465083305,0.774047074
31,115.05869,49.2572623,-123.2428607,126.9502014,3.350733962,-0.358995072
32,115.05869,49.2572477,-123.242817,126.9502014,3.350733962,-0.358995072
33,115.03414,49.2572477,-123.242817,126.9502014,3.350733962,-0.358995072
34,115.03414,49.2572477,-123.242817,122.9517008,4.462266355,1.427144476
35,115.03414,49.257224,-123.2427622,122.9517008,4.462266355,1.427144476
36,115.02721,49.257224,-123.2427622,122.9517008,4.462266355,1.427144476
37,115.02721,49.257224,-123.2427622,123.1843217,2.000752578,1.19059312
38,115.02721,49.2571995,-123.2427091,123.1843217,2.000752578,1.19059312
39,115.09544,49.2571995,-123.2427091,123.1843217,2.000752578,1.19059312
40,115.09544,49.2571995,-123.2427091,120.7179103,-1.835708074,-1.527120454
41,115.09544,49.2571718,-123.2426427,120.7179103,-1.835708074,-1.527120454
42,115.09544,49.2571718,-123.2426427,117.2230969,-1.733224832,2.567283505
43,115.18612,49.2571718,-123.2426427,117.2230969,-1.733224832,2.567283505
44,115.18612,49.2571718,-123.2426427,118.8895446,-1.768036602,3.385471247
45,115.18612,49.2571405,-123.2425729,118.8895446,-1.768036602,3.385471247
46,115.18252,49.2571405,-123.2425729,118.8895446,-1.768036602,3.385471247
47,115.18252,49.2571405,-123.2425729,116.5772016,-4.748207818,-0.102419586
48,115.18252,49.2571075,-123.2424897,116.5772016,-4.748207818,-0.102419586
49,115.42932,49.2571075,-123.2424897,116.5772016,-4.748207818,-0.102419586
50,115.42932,49.2571075,-123.2424897,122.6114212,1.244612154,3.548352262
51,115.42932,49.2570759,-123.2423864,122.6114212,1.244612154,3.548352262
52,115.54698,49.2570759,-123.2423864,122.6114212,1.244612154,3.548352262
53,115.54698,49.2570759,-123.2423864,125.0390433,2.080554712,4.164546026
54,115.54698,49.2570409,-123.2422914,125.0390433,2.080554712,4.164546026
55,115.54698,49.2570409,-123.2422914,123.8938726,1.085908574,-1.088606633
56,115.68721,49.2570409,-123.2422914,123.8938726,1.085908574,-1.088606633
57,115.68721,49.2569976,-123.2421947,123.8938726,1.085908574,-1.088606633
58,115.68721,49.2569976,-123.2421947,128.19415,3.379309659,1.80466121
59,115.76582,49.2569976,-123.2421947,128.19415,3.379309659,1.80466121
60,115.76582,49.2569976,-123.2421947,126.3566744,5.829324174,0.558853694
61,115.76582,49.2569618,-123.2420965,126.3566744,5.829324174,0.558853694
62,115.78221,49.2569618,-123.2420965,126.3566744,5.829324174,0.558853694
63,115.78221,49.2569618,-123.2420965,130.3460649,6.73880873,10.80629914
64,115.78221,49.2569298,-123.2420259,130.3460649,6.73880873,10.80629914
