X (meters),Y (meters),Z (meters)
-2269963.068755844,-3463177.1500328556,4839294.485586525
-2269962.3248998486,-3463178.0322372955,4839294.218772371
-2269962.0413791426,-3463178.601626911,4839293.942897532
-2269962.217568136,-3463178.8704305035,4839293.666033473
-2269961.4685044684,-3463179.7446905435,4839293.389894166
-2269960.7259461046,-3463180.6156922583,4839293.113030063
-2269960.4362555766,-3463181.188853039,4839292.836890713
-2269959.693759159,-3463182.0599498115,4839292.560158829
-2269959.120882961,-3463183.203012991,4839292.007155246
-2269958.8372362643,-3463183.7722117864,4839291.73101581
-2269958.264359334,-3463184.915274787,4839291.178012098
-2269957.52179916,-3463185.7862757673,4839290.901147823
-2269957.4078346114,-3463186.6275363145,4839290.348868757
-2269956.8410008643,-3463187.766637194,4839289.79586483
-2269956.092457759,-3463188.641694949,4839289.51913271
-2269955.0602038177,-3463190.0858556675,4839288.966128654
-2269954.4933685525,-3463191.2249560994,4839288.41312451
-2269953.7443005396,-3463192.099214349,4839288.1369847935
-2269952.7120446158,-3463193.543374304,4839287.583980522
-2269952.1452078335,-3463194.68247429,4839287.030976164
-2269952.0317018195,-3463195.524438161,4839286.47797172
-2269950.540068116,-3463197.269695203,4839285.924967189
-2269950.2564183692,-3463197.8388931584,4839285.648827279
-2269948.9409702215,-3463199.852953465,4839284.818957868
-2269948.8274626397,-3463200.69491713,4839284.265953078
-2269948.084498143,-3463201.5653074705,4839283.989945201
-2269947.2284237794,-3463203.2782696676,4839283.160075403
-2269946.655538376,-3463204.4213303574,4839282.607070353
-2269945.4470263617,-3463205.596588559,4839282.330798025
-2269945.0563709787,-3463207.004491305,4839281.5009278385
-2269943.8479201235,-3463208.1798441405,4839281.224787584
-2269943.275032558,-3463209.322904186,4839280.671782235
-2269942.4185543153,-3463211.035256508,4839279.842768598
-2269941.675985012,-3463211.906253833,4839279.565903437
-2269940.8193802615,-3463213.618415247,4839278.73662522
-2269940.246490349,-3463214.7614746774,4839278.1836194815
-2269938.5791185778,-3463216.238625522,4839277.906754191
-2269938.647437395,-3463217.3448227,4839277.077739908
-2269937.8983602156,-3463218.2190772644,4839276.801599311
-2269937.0422125733,-3463219.931941235,4839275.971595669
-2269936.4753643773,-3463221.0710381274,4839275.4185895
-2269935.2669067173,-3463222.246387832,4839275.142448772
-2269934.8701982414,-3463223.658250724,4839274.312576904
-2269933.6677837954,-3463224.82963806,4839274.036436089
-2269933.2710739737,-3463226.241500693,4839273.206563961
-2269932.2387986793,-3463227.685653867,4839272.653557361
-2269931.6654414237,-3463228.8280079244,4839272.101275454
-2269930.6392091354,-3463230.2681987947,4839271.548268683
-2269930.0663119704,-3463231.411256214,4839270.995261824
-2269929.034033733,-3463232.8554083332,4839270.442254879
-2269928.467242334,-3463233.994598885,4839269.88938001
-2269927.434962629,-3463235.438750476,4839269.336372892
-2269926.8620632086,-3463236.581807266,4839268.783365689
-2269925.8297820305,-3463238.02595833,4839268.2303583985
-2269925.262925976,-3463239.1650530356,4839267.677351022
-2269923.9409396974,-3463241.1823607096,4839266.848202188
-2269922.7389780097,-3463242.354447761,4839266.571336012
-2269922.341797839,-3463243.7656049556,4839265.742186919
-2269921.1337904003,-3463244.941653187,4839265.465320657
-2269920.7366088824,-3463246.3528101225,4839264.636171306
-2269919.7103666496,-3463247.7929974133,4839264.0831633685
-2269918.961739976,-3463248.6679512663,4839263.806296976
-2269919.0299839117,-3463249.774052651,4839262.977147237
-2269917.5383121977,-3463251.519294411,4839262.424139041
-2269917.248668639,-3463252.0925461743,4839262.148129565
-2269916.6818064814,-3463253.2316392,4839261.59512124
-2269916.1088993205,-3463254.3746938584,4839261.042112829
-2269915.6495158444,-3463254.6757869017,4839261.042112829
-2269915.0766080427,-3463255.8188413642,4839260.489104332
-2269914.3340230817,-3463256.689832386,4839260.212237661
-2269914.509744277,-3463256.95793396,4839259.936095752
-2269914.2204982922,-3463257.5317938,4839259.6592290355
