X (meters),Y (meters),Z (meters)
2065295.2503453505,733474.6489939349,5987057.139443287
2065296.6464348747,733475.4545266198,5987056.555251346
2065297.294662652,733475.9944618456,5987056.263538044
2065299.4620851192,733476.9963969637,5987055.387249021
2065300.858173705,733477.801930603,5987054.803055812
2065301.4829286514,733478.4110626815,5987054.510959047
2065303.6503499122,733479.4129988832,5987053.634668121
2065304.2995555096,733479.9532830269,5987053.342570934
2065305.7200940738,733480.6899693325,5987052.758376243
2065307.8386686929,733481.8296240079,5987051.882247212
2065308.5123248587,733482.3010602435,5987051.590149391
2065309.9073755648,733483.1062282537,5987051.006172457
2065311.3035185954,733483.9117846447,5987050.422139875
2065312.6995475325,733484.717300964,5987049.837779267
2065314.120084351,733485.453988945,5987049.253582036
2065315.5161695578,733486.2595260883,5987048.669384383
2065316.9122544415,733487.0650635648,5987048.085186305
2065318.3083390037,733487.870601375,5987047.500987805
2065318.9819937618,733488.34203921,5987047.208888398
2065321.1239797387,733489.4124812464,5987046.332972367
2065322.4956118856,733490.2868691656,5987045.748772597
2065323.1692660807,733490.7583076403,5987045.456672555
2065324.5653491665,733491.5638469983,5987044.87247215
2065325.9858834771,733492.30053742,5987044.288271323
2065327.357514374,733493.1749267154,5987043.704070072
2065328.7780480955,733493.9116177119,5987043.119868399
2065330.174129921,733494.7171583582,5987042.535666301
2065331.5702114245,733495.5226993382,5987041.95146378
2065332.965313734,733496.3278930084,5987041.367643671
2065334.3858462984,733497.0645851055,5987040.783440305
2065335.7819268634,733497.87012704,5987040.199236516
2065337.153555348,733498.7445189514,5987039.615032302
2065337.8272075718,733499.2159596651,5987039.322930039
2065339.970166626,733500.2867548452,5987038.446622607
2065340.6438184895,733500.758195963,5987038.15451992
2065342.0154457255,733501.6325892513,5987037.570314225
2065344.1818765095,733502.634188133,5987036.694387727
2065344.8310759207,733503.1744797672,5987036.402284404
2065346.2271540454,733503.980024251,5987035.818077441
2065348.3701105595,733505.0508218051,5987034.9417662015
2065349.0437613125,733505.5222641797,5987034.649662245
2065350.4398384972,733506.3278096177,5987034.065454013
2065351.8359153597,733507.1333553892,5987033.481245356
2065353.2319919,733507.9389014944,5987032.897036277
2065354.6280681188,733508.7444479333,5987032.312826774
2065355.3007391416,733509.2155436453,5987032.021104703
2065357.4193687425,733510.3548336945,5987031.144789339
2065358.8398250334,733511.0919114454,5987030.560742367
2065359.4890221914,733511.6322058075,5987030.268636821
2065361.6563699644,733512.6341365706,5987029.3921557525
2065362.2812424914,733513.2429214378,5987029.100049786
2065363.7016977235,733513.9800002415,5987028.516001332
2065365.097714641,733514.7855289795,5987027.931624858
2065366.492866141,733515.5907508122,5987027.347958396
2065367.8890673248,733516.3959399465,5987026.763744874
2065369.2851401633,733517.2014898884,5987026.179530928
2065370.7055370568,733517.9385498782,5987025.595316559
2065372.0772848753,733518.8125907738,5987025.011101767
2065373.4978092043,733519.5492908634,5987024.426886552
2065374.8938807824,733520.3548420938,5987023.842670914
2065376.3142765195,733521.0919031856,5987023.258454852
2065376.9391465127,733521.7006912667,5987022.9663466625
2065378.3585628907,733522.437405238,5987022.382512809
2065380.501637592,733523.5078516173,5987021.5061869705
2065381.1508314416,733524.0481499842,5987021.214078148
2065382.5469012214,733524.8537030958,5987020.62986018
2065384.7141712508,733525.8560204239,5987019.7535324395
2065385.3634924986,733526.3959590708,5987019.461422981
2065386.7595613417,733527.2015131377,5987018.877203746
2065388.1556298612,733528.0070675378,5987018.292984088
2065389.5750439258,733528.743783712,5987017.70914685
2065390.9712398548,733529.5489782549,5987017.124926345
2065391.5959792885,733530.158130028,5987016.832815934
2065393.763374694,733531.1600892972,5987015.956484065
2065395.1594416308,733531.9656453192,5987015.372262293
2065395.8329580843,733532.4374552944,5987015.080151247
2065397.9515745384,733533.5767583637,5987014.203817475
2065399.372093456,733534.3134636702,5987013.61959443
2065400.0212844256,733534.8537655222,5987013.327482749
2065402.163245619,733535.9242309754,5987012.45152992
2065402.8124361588,733536.4645333467,5987012.159417815
2065404.2329540208,733537.2012397059,5987011.5751932915
2065406.3758928282,733538.2720539583,5987010.698855711
2065407.025082743,733538.8123570876,5987010.406742972
2065408.4211466215,733539.6179162791,5987009.822517178
2065409.8172101777,733540.4234758042,5987009.238290961
2065411.2377265864,733541.1601835509,5987008.65406432
2065412.6083574605,733542.034248207,5987008.070220104
2065413.2819995924,733542.505700368,5987007.778106414
2065415.4248786857,733543.5764971367,5987006.901600908
2065416.8209406615,733544.3820582842,5987006.3173725745
2065417.4701289488,733544.9223633837,5987006.025258249
2065419.637516976,733545.9243291871,5987005.148914639
2065421.03357801,733546.7298912883,5987004.564685035
2065421.6828225611,733547.2702173501,5987004.272733876
2065423.07882617,733548.0757598404,5987003.688339839
2065424.4739074823,733548.8809752192,5987003.104492028
2065425.8944207935,733549.6176859809,5987002.520260945
2065427.2660268692,733550.4921022772,5987001.936029438
2065428.6865395894,733551.228813613,5987001.351797508
2065430.0825985055,733552.0343779299,5987000.767565154
2065431.50311066,733552.7710897923,5987000.183332377
2065432.8747153704,733553.6455075643,5986999.599099179
2065434.2952269344,733554.3822200008,5986999.014865555
2065435.6903057264,733555.1874379554,5986998.431014362
2065436.3394911345,733555.7277465397,5986998.138897181
2065438.4824200694,733556.7985701658,5986997.262545
2065439.131605048,733557.3388792698,5986996.970427395
2065440.5521152602,733558.0755930459,5986996.386191868
2065442.6950429429,733559.1464178233,5986995.509837785
2065443.3442272954,733559.6867276849,5986995.217719545
2065444.740282832,733560.4922955055,5986994.633482748
2065446.1607918881,733561.2290103828,5986994.049245528
