X (meters),Y (meters),Z (meters)
-4109771.677605437,2862998.576474439,3927416.1104975296
-4109771.900951481,2862998.732064446,3927415.783742645
-4109772.1150368694,2862998.8812031844,3927415.4496076265
-4109772.329344319,2862999.0304966173,3927415.1142730247
-4109773.307612653,2862998.081944462,3927414.7798162447
-4109773.7357795364,2862998.3802190563,3927414.1101320633
-4109774.1638333406,2862998.678414876,3927413.4403405413
-4109775.1376656694,2862997.737425841,3927413.1050058343
-4109775.5658324505,2862998.035700195,3927412.4353214754
-4109776.7584078396,2862997.2364400956,3927411.765529778
-4109777.945986152,2862996.444352429,3927411.09573801
-4109778.5877861907,2862996.891449876,3927410.0914891455
-4109779.7803611793,2862996.092188565,3927409.4216972017
-4109780.208414792,2862996.390383575,3927408.7519051866
-4109781.400989582,2862995.591121616,3927408.0821131025
-4109782.0427893694,2862996.038218379,3927407.077863764
-4109783.2304801,2862995.24620734,3927406.408178773
-4109784.85110794,2862994.7451385576,3927405.06859404
-4109786.038685263,2862993.953047669,3927404.3988015694
-4109786.680484807,2862994.4001435023,3927403.3945516506
-4109787.873058803,2862993.6008789553,3927402.724759003
-4109789.4936858807,2862993.099807692,3927401.385173497
-4109789.9217390995,2862993.398001411,3927400.7153806384
-4109791.3230619086,2862992.754809854,3927399.7111301394
-4109792.72994238,2862992.1048355172,3927398.7060016408
-4109794.1312647583,2862991.4616426476,3927397.7017508256
-4109794.7736248225,2862991.909127685,3927396.6966220103
-4109795.9661978222,2862991.109859902,3927396.0268286597
-4109797.5869364985,2862990.6088629896,3927394.687348933
-4109798.0144283734,2862990.9066648153,3927394.018433213
-4109799.630056938,2862990.4127611145,3927392.6788458787
-4109800.822629342,2862989.6134913876,3927392.0090521057
-4109802.438257445,2862989.1195861823,3927390.6694643493
-4109803.6308294437,2862988.320315325,3927389.999670365
-4109804.273076049,2862988.7677197987,3927388.994433149
-4109805.6743967966,2862988.1245215693,3927387.990180805
-4109806.316195101,2862988.571613493,3927386.9859283012
-4109807.936819171,2862988.0705324216,3927385.6463394905
-4109809.129390584,2862987.2712593745,3927384.9765449795
-4109810.7450173325,2862986.777349765,3927383.636955745
-4109811.93758834,2862985.978075588,3927382.967161022
-4109813.3389079627,2862985.3348737885,3927381.9629077287
-4109813.981266896,2862985.7823549886,3927380.9577764343
-4109815.38758311,2862985.131979268,3927379.953522823
-4109816.2436873657,2862985.728359768,3927378.613932534
-4109817.436257787,2862984.9290834013,3927377.944137284
-4109819.051883186,2862984.435169385,3927376.6045465744
-4109820.244453203,2862983.635891888,3927375.934751112
-4109821.645771656,2862982.9926862363,3927374.9304967113
-4109823.266393208,2862982.491596968,3927373.5909053665
-4109823.69444508,2862982.789786193,3927372.9211095897
-4109825.3150663027,2862982.2886958467,3927371.5815178235
-4109826.716496971,2862981.6455665044,3927370.5773699237
-4109827.9090659856,2862980.846285936,3927369.90757383
-4109829.5246896716,2862980.3523663287,3927368.56798143
-4109830.717258282,2862979.55308463,3927367.8981851246
-4109831.5733615123,2862980.1494610296,3927366.558592304
-4109832.2151582395,2862980.5965477913,3927365.554336427
-4109833.6170360413,2862979.953727401,3927364.5492025446
-4109835.02334946,2862979.3033425272,3927363.5449463516
-4109836.430223671,2862978.6533478047,3927362.539812153
-4109837.8315398158,2862978.010134627,3927361.5355556426
-4109839.2378525822,2862977.359747774,3927360.5312989736
