Date, Time, mavlink_terrain_report_t.current_height, mavlink_gps_raw_int_t.lat, mavlink_gps_raw_int_t.lon, mavlink_attitude_t.yaw, mavlink_attitude_t.roll, mavlink_attitude_t.pitch
9/17/2018, 4:44:38 , -92.50089, 492573988, -1232432065, -0.8548288, -0.002814572, 0.0009303493
9/17/2018, 4:44:38 , -92.48303, 492573988, -1232432065, -0.8548288, -0.002814572, 0.0009303493
9/17/2018, 4:44:38 , -92.48303, 492573988, -1232432065, -0.8544159, -0.002595819, 0.0009567216
9/17/2018, 4:44:39 , -92.48303, 492573988, -1232432065, -0.8544123, -0.002532499, 0.0008195303
9/17/2018, 4:44:40 , -92.48303, 492573981, -1232432025, -0.8544123, -0.002532499, 0.0008195303
9/17/2018, 4:44:40 , -92.45405, 492573981, -1232432025, -0.8544123, -0.002532499, 0.0008195303
9/17/2018, 4:44:41 , -92.45405, 492573981, -1232432025, -0.8549131, -0.002441862, 0.0008868948
9/17/2018, 4:44:42 , -92.45405, 492573981, -1232432025, -0.8548743, -0.00246197, 0.000756992
9/17/2018, 4:44:42 , -92.45405, 492573956, -1232431997, -0.8548743, -0.00246197, 0.000756992
9/17/2018, 4:44:42 , -92.60319, 492573956, -1232431997, -0.8548743, -0.00246197, 0.000756992
9/17/2018, 4:44:43 , -92.60319, 492573956, -1232431997, -0.8549424, -0.002344847, 0.0006367927
9/17/2018, 4:44:44 , -92.60319, 492573956, -1232431997, -0.8546804, -0.002420336, 0.0006329427
9/17/2018, 4:44:44 , -92.60319, 492573956, -1232431997, -0.8547671, -0.002410712, 0.0005985769
9/17/2018, 4:44:44 , -92.60319, 492573956, -1232431997, -0.8548416, -0.00247248, 0.0005930122
9/17/2018, 4:44:44 , -92.60319, 492573818, -1232431969, -0.8548416, -0.00247248, 0.0005930122
9/17/2018, 4:44:44 , -92.53341, 492573818, -1232431969, -0.8548416, -0.00247248, 0.0005930122
9/17/2018, 4:44:44 , -92.53341, 492573818, -1232431969, -0.8549473, -0.002437008, 0.0005793702
9/17/2018, 4:44:45 , -92.53341, 492573818, -1232431969, -0.855234, -0.002416782, 0.000601518
9/17/2018, 4:44:45 , -92.53341, 492573835, -1232431952, -0.855234, -0.002416782, 0.000601518
9/17/2018, 4:44:45 , -92.63539, 492573835, -1232431952, -0.855234, -0.002416782, 0.000601518
9/17/2018, 4:44:45 , -92.63539, 492573835, -1232431952, -0.8556496, -0.002423461, 0.0005504843
9/17/2018, 4:44:45 , -92.63539, 492573835, -1232431952, -0.856, -0.002472953, 0.0006025927
9/17/2018, 4:44:45 , -92.63539, 492573841, -1232432003, -0.856, -0.002472953, 0.0006025927
9/17/2018, 4:44:46 , -92.45394, 492573841, -1232432003, -0.856, -0.002472953, 0.0006025927
9/17/2018, 4:44:46 , -92.45394, 492573841, -1232432003, -0.856055, -0.002463174, 0.0005835695
9/17/2018, 4:44:46 , -92.45394, 492573841, -1232432003, -0.8561535, -0.002449089, 0.0005446589
9/17/2018, 4:44:46 , -92.45394, 492573834, -1232431942, -0.8561535, -0.002449089, 0.0005446589
9/17/2018, 4:44:46 , -92.4857, 492573834, -1232431942, -0.8561535, -0.002449089, 0.0005446589
9/17/2018, 4:44:46 , -92.4857, 492573834, -1232431942, -0.8562043, -0.002408992, 0.000496679
9/17/2018, 4:44:47 , -92.4857, 492573834, -1232431942, -0.8559359, -0.002451629, 0.0005059009
9/17/2018, 4:44:47 , -92.4857, 492573819, -1232431950, -0.8559359, -0.002451629, 0.0005059009
9/17/2018, 4:44:47 , -92.44421, 492573819, -1232431950, -0.8559359, -0.002451629, 0.0005059009
9/17/2018, 4:44:47 , -92.44421, 492573819, -1232431950, -0.85574, -0.002491475, 0.0005052201
9/17/2018, 4:44:47 , -92.44421, 492573819, -1232431950, -0.8556487, -0.002479553, 0.000420196
9/17/2018, 4:44:47 , -92.44421, 492573794, -1232431929, -0.8556487, -0.002479553, 0.000420196
9/17/2018, 4:44:48 , -92.46303, 492573794, -1232431929, -0.8556487, -0.002479553, 0.000420196
9/17/2018, 4:44:48 , -92.46303, 492573794, -1232431929, -0.8556383, -0.00250538, 0.0003356626
9/17/2018, 4:44:48 , -92.46303, 492573794, -1232431929, -0.8557813, -0.002519771, 0.0003501261
9/17/2018, 4:44:48 , -92.46303, 492573798, -1232431916, -0.8557813, -0.002519771, 0.0003501261
9/17/2018, 4:44:48 , -92.46384, 492573798, -1232431916, -0.8557813, -0.002519771, 0.0003501261
9/17/2018, 4:44:48 , -92.46384, 492573798, -1232431916, -0.8558572, -0.002536575, 0.0003334358
9/17/2018, 4:44:48 , -92.46384, 492573798, -1232431916, -0.8560521, -0.002519003, 0.0002485812
9/17/2018, 4:44:49 , -92.46384, 492573811, -1232431910, -0.8560521, -0.002519003, 0.0002485812
9/17/2018, 4:44:49 , -92.36507, 492573811, -1232431910, -0.8560521, -0.002519003, 0.0002485812
9/17/2018, 4:44:49 , -92.36507, 492573811, -1232431910, -0.856467, -0.002473775, 0.0002591275
9/17/2018, 4:44:49 , -92.36507, 492573811, -1232431910, -0.8565872, -0.002536069, 0.0002479488
9/17/2018, 4:44:50 , -92.36507, 492573810, -1232431894, -0.8565872, -0.002536069, 0.0002479488
9/17/2018, 4:44:50 , -92.12559, 492573810, -1232431894, -0.8565872, -0.002536069, 0.0002479488
9/17/2018, 4:44:50 , -92.12559, 492573810, -1232431894, -0.8360276, 0.03161804, 0.007810834
9/17/2018, 4:44:50 , -92.12559, 492573810, -1232431894, -0.830873, -0.027772, -0.0749212
9/17/2018, 4:44:50 , -92.12559, 492573831, -1232431887, -0.830873, -0.027772, -0.0749212
9/17/2018, 4:44:50 , -92.09754, 492573831, -1232431887, -0.830873, -0.027772, -0.0749212
9/17/2018, 4:44:50 , -92.09754, 492573831, -1232431887, -1.423356, 0.03173276, -0.1954864
9/17/2018, 4:44:51 , -92.09754, 492573880, -1232431930, -1.423356, 0.03173276, -0.1954864
9/17/2018, 4:44:51 , -91.59979, 492573880, -1232431930, -1.423356, 0.03173276, -0.1954864
9/17/2018, 4:44:51 , -91.59979, 492573880, -1232431930, -2.106473, 0.2054595, 0.04503942
9/17/2018, 4:44:51 , -91.59979, 492573880, -1232431930, -2.07239, 0.20365, 0.1749297
9/17/2018, 4:44:51 , -91.59979, 492573801, -1232431946, -2.07239, 0.20365, 0.1749297
9/17/2018, 4:44:51 , -91.35293, 492573801, -1232431946, -2.07239, 0.20365, 0.1749297
9/17/2018, 4:44:51 , -91.35293, 492573801, -1232431946, -1.66995, 0.2826107, 0.1438624
9/17/2018, 4:44:52 , -91.35293, 492573716, -1232431980, -1.66995, 0.2826107, 0.1438624
9/17/2018, 4:44:52 , -91.31499, 492573716, -1232431980, -1.66995, 0.2826107, 0.1438624
9/17/2018, 4:44:52 , -91.31499, 492573716, -1232431980, -1.717572, 0.3493499, 0.321883
9/17/2018, 4:44:52 , -91.31499, 492573687, -1232431898, -1.717572, 0.3493499, 0.321883
9/17/2018, 4:44:53 , -90.98569, 492573687, -1232431898, -1.717572, 0.3493499, 0.321883
9/17/2018, 4:44:53 , -90.98569, 492573687, -1232431898, -1.596773, 0.1582357, -0.09650203
9/17/2018, 4:44:53 , -90.98569, 492573687, -1232431898, 0.632987, 0.1756032, -0.1421699
9/17/2018, 4:44:53 , -90.98569, 492573624, -1232431878, 0.632987, 0.1756032, -0.1421699
9/17/2018, 4:44:53 , -90.68145, 492573624, -1232431878, 0.632987, 0.1756032, -0.1421699
9/17/2018, 4:44:54 , -90.68145, 492573624, -1232431878, -0.7789186, 0.2435571, 0.09732527
9/17/2018, 4:44:54 , -90.68145, 492573585, -1232431732, -0.7789186, 0.2435571, 0.09732527
9/17/2018, 4:44:55 , -90.70357, 492573585, -1232431732, -0.7789186, 0.2435571, 0.09732527
9/17/2018, 4:44:55 , -90.70357, 492573585, -1232431732, -1.061211, 0.2153732, 0.05617693
9/17/2018, 4:44:55 , -90.70357, 492573585, -1232431732, 1.574744, 0.01111706, -0.1520377
9/17/2018, 4:44:55 , -90.70357, 492573709, -1232431605, 1.574744, 0.01111706, -0.1520377
9/17/2018, 4:44:55 , -90.79819, 492573709, -1232431605, 1.574744, 0.01111706, -0.1520377
9/17/2018, 4:44:55 , -90.79819, 492573709, -1232431605, -0.7743822, 0.2523805, 0.285634
9/17/2018, 4:44:56 , -90.79819, 492573693, -1232431566, -0.7743822, 0.2523805, 0.285634
9/17/2018, 4:44:56 , -90.82829, 492573693, -1232431566, -0.7743822, 0.2523805, 0.285634
9/17/2018, 4:44:56 , -90.82829, 492573693, -1232431566, -2.38431, 0.007200879, -0.1222258
9/17/2018, 4:44:56 , -90.82829, 492573693, -1232431566, -0.580566, 0.3671772, -0.1045342
9/17/2018, 4:44:57 , -90.82829, 492573668, -1232431531, -0.580566, 0.3671772, -0.1045342
9/17/2018, 4:44:57 , -90.76755, 492573668, -1232431531, -0.580566, 0.3671772, -0.1045342
9/17/2018, 4:44:57 , -90.76755, 492573668, -1232431531, 1.39152, 0.08915374, -0.2750147
9/17/2018, 4:44:57 , -90.76755, 492573604, -1232431552, 1.39152, 0.08915374, -0.2750147
9/17/2018, 4:44:58 , -90.79151, 492573604, -1232431552, 1.39152, 0.08915374, -0.2750147
9/17/2018, 4:44:58 , -90.79151, 492573604, -1232431552, 1.047596, 0.4116161, -0.2974031
9/17/2018, 4:44:58 , -90.79151, 492573604, -1232431552, 2.371562, 0.1536618, -0.245877
9/17/2018, 4:44:58 , -90.79151, 492573585, -1232431643, 2.371562, 0.1536618, -0.245877
9/17/2018, 4:44:58 , -90.68674, 492573585, -1232431643, 2.371562, 0.1536618, -0.245877
9/17/2018, 4:44:59 , -90.68674, 492573585, -1232431643, -2.112225, 0.111793, -0.1038748
9/17/2018, 4:44:59 , -90.68674, 492573585, -1232431643, -0.9695286, 0.1380516, -0.0678318
9/17/2018, 4:44:59 , -90.68674, 492573597, -1232431613, -0.9695286, 0.1380516, -0.0678318
9/17/2018, 4:44:59 , -90.5388, 492573597, -1232431613, -0.9695286, 0.1380516, -0.0678318
9/17/2018, 4:44:59 , -90.5388, 492573597, -1232431613, -0.677067, 0.1882839, -0.07207067
9/17/2018, 4:44:59 , -90.5388, 492573585, -1232431468, -0.677067, 0.1882839, -0.07207067
9/17/2018, 4:44:59 , -90.50297, 492573585, -1232431468, -0.677067, 0.1882839, -0.07207067
9/17/2018, 4:44:59 , -90.50297, 492573585, -1232431468, -1.017292, 0.07777004, 0.001420466
9/17/2018, 4:44:59 , -90.50297, 492573585, -1232431468, 0.7409593, 0.1986259, -0.09040236
9/17/2018, 4:45:00 , -90.50297, 492573552, -1232431483, 0.7409593, 0.1986259, -0.09040236
9/17/2018, 4:45:00 , -90.44971, 492573552, -1232431483, 0.7409593, 0.1986259, -0.09040236
9/17/2018, 4:45:00 , -90.44971, 492573552, -1232431483, 2.046658, 0.09465343, -0.07643484
9/17/2018, 4:45:00 , -90.44971, 492573552, -1232431483, 1.199155, 0.240215, -0.1236588
9/17/2018, 4:45:00 , -90.44971, 492573531, -1232431507, 1.199155, 0.240215, -0.1236588
9/17/2018, 4:45:01 , -90.70715, 492573531, -1232431507, 1.199155, 0.240215, -0.1236588
9/17/2018, 4:45:01 , -90.70715, 492573531, -1232431507, -0.8158163, 0.1087893, -0.1366221
9/17/2018, 4:45:01 , -90.70715, 492573531, -1232431507, -0.8534988, 0.1148652, -0.05480038
9/17/2018, 4:45:01 , -90.70715, 492573492, -1232431472, -0.8534988, 0.1148652, -0.05480038
9/17/2018, 4:45:01 , -90.79514, 492573492, -1232431472, -0.8534988, 0.1148652, -0.05480038
9/17/2018, 4:45:01 , -90.79514, 492573492, -1232431472, 0.8167279, 0.5406001, -0.5623082
9/17/2018, 4:45:02 , -90.79514, 492573478, -1232431448, 0.8167279, 0.5406001, -0.5623082
9/17/2018, 4:45:02 , -90.68483, 492573478, -1232431448, 0.8167279, 0.5406001, -0.5623082
9/17/2018, 4:45:02 , -90.68483, 492573478, -1232431448, 0.9398969, 0.8068822, -0.5568573
