x,y,z
0,81.21051023853943,34.268552974797785
0.4831306915730238,79.9158893530257,34.567085437476635
0.7626904412172735,79.3331845398061,34.305679499171674
0.5862352885305882,79.06397488061339,34.0283971959725
1.3417456625029445,78.18491030624136,33.751840740442276
2.090706166345626,77.30913174990565,33.47455839533359
2.383509253617376,76.73335182480514,33.198001897893846
3.1288916785269976,75.85211379500106,32.92829758673906
3.707948432303965,74.70384002057835,32.37445861380547
3.994663821067661,74.13205083925277,32.09790203161538
4.5737213105894625,72.98377724830061,31.54406293295324
5.3226836360991,72.10799943795428,31.266780415549874
5.439495290163904,71.26371475076303,30.713667061179876
6.012465733569115,70.11943204468116,30.159827748313546
6.763938700314611,69.23420422617346,29.89012327324599
7.805707370862365,67.78264754917473,29.336283834651113
8.378679339773953,66.63836529664695,28.782444310374558
9.134194083046168,65.75930253602564,28.505887449719012
10.175964745227247,64.30774663342163,27.95204779971391
10.748938239645213,63.16346483724192,27.398208063095808
10.865290678106248,62.31847577961162,26.844368242658675
12.369773292448372,60.56363742798567,26.290528335608542
12.656491747591645,59.99184910301119,26.013971285894513
13.984522664919496,57.96780144004151,25.182848267257214
14.100876679643989,57.12281259847805,24.62900810688734
14.846730607561767,56.24228614708409,24.360023237764835
15.712053590919822,54.521521978545934,23.528899835422635
16.291119600180537,53.373250746168196,22.97505941800773
17.51292597874999,52.1963630723767,22.69092981237918
17.909451955463737,50.78287249431014,21.85980603005737
19.1276837377809,49.60052981507033,21.583248642273247
19.706751919351518,48.4522592430003,21.02940793056041
20.568966067396104,46.726745657622814,20.206581936217844
21.317937570158392,45.85097155440599,19.929298548027873
22.187305107247084,44.136369664222,19.09132770355791
22.766375648323447,42.98809972172603,18.53748660814017
24.446861842647195,41.50177263375372,18.26020309329033
24.37756673898548,40.38681367971003,17.437376460060477
25.133090696763247,39.50775465928018,17.160818732343614
26.002000444568694,37.79244918562472,16.322121382690966
26.57498541288078,36.64817055221647,15.768279863521457
27.793224034365267,35.46583104552701,15.491722009144723
28.19584702095017,34.048351620323956,14.660596571862698
29.407998563721776,32.870003243908286,14.384038631804287
29.810622903052717,31.452524085063487,13.552912939339876
30.85241303546354,30.000975081231445,12.999070995487273
31.431951648090035,28.8534116121009,12.445954842492938
32.46765491180122,27.405853676609695,11.892112729139626
33.04673274373636,26.257585789076984,11.33827053103596
34.08852583402768,24.806037857662886,10.784428249113262
34.657940620556474,23.656305176671594,10.238158164545894
35.69973518745974,22.204757780302316,9.684315711259842
36.27881528669968,21.056490533985198,9.130473173223436
37.3206113348715,19.604943674057722,8.576630549505353
37.893604203592986,18.460667273495346,8.022787840105593
39.22821798874065,16.433344745077193,7.192386558279395
40.43991612130776,15.25429564062506,6.915102170780301
40.84301155526191,13.837523037102073,6.084700632840395
42.06079931650311,12.654484005644917,5.807416160590947
42.46389610506594,11.23771166941151,4.977014368399978
43.49960936512798,9.790157370269299,4.423171108588576
44.254682175349444,8.910398063715547,4.145886507816613
44.18897545337677,7.800895377527922,3.3154843347147107
45.69349627336487,6.046072534751147,2.7616408206522465
45.98273640405387,5.464837191160768,2.492659998126328
46.55573540786281,4.320562505628914,1.938816356472671
47.134823290165514,3.172297437209636,1.3849726282060146
47.5975409662351,2.869019063655287,1.3849726282060146
48.17662949068472,1.7207541936077178,0.8311288161203265
48.92561673279852,0.8449864876456559,0.5538439396768808
48.749630112200975,0.5764799495227635,0.2772849192842841
49.04198804870248,0.0,0.0
