index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,114.0100021362305,49.25736236572266,-123.2431106567383,119.2200012207031,-9.439999580383301,5.71999979019165
2,114.5299987792969,49.25735855102539,-123.2431106567383,119.2399978637695,-9.930000305175781,6.110000133514404
3,114.6600036621094,49.25736236572266,-123.2431106567383,119.25,-9.899999618530273,5.980000019073486
4,114.9300003051758,49.25735855102539,-123.2431106567383,119.0299987792969,-8.810000419616699,-2.039999961853027
5,114.9400024414062,49.25735855102539,-123.2430953979492,119.1399993896484,-8.789999961853027,-2.650000095367432
6,114.9599990844727,49.25735473632812,-123.2430877685547,124.4400024414062,-9.439999580383301,-4.920000076293945
7,114.9599990844727,49.25735092163086,-123.2430725097656,124.129997253418,-9.489999771118164,-6.389999866485596
8,114.9599990844727,49.25734710693359,-123.2430725097656,122.5899963378906,-9.170000076293945,-8.359999656677246
9,114.9599990844727,49.25734329223633,-123.2430572509766,121.5500030517578,-8.920000076293945,-9.460000038146973
10,114.9700012207031,49.25733947753906,-123.243049621582,121.620002746582,-9.020000457763672,-9.630000114440918
11,114.9700012207031,49.2573356628418,-123.243034362793,122.1999969482422,-9.279999732971191,-9.720000267028809
12,114.9700012207031,49.25732803344727,-123.2430191040039,122.4899978637695,-9.340000152587891,-9.909999847412109
13,114.9700012207031,49.25732040405273,-123.2430114746094,122.3199996948242,-9.350000381469727,-10.17000007629395
14,114.9700012207031,49.25731658935547,-123.2429962158203,122.0299987792969,-9.25,-10.48999977111816
15,114.9700012207031,49.2573127746582,-123.2429809570312,121.9100036621094,-9.149999618530273,-10.67000007629395
16,114.9700012207031,49.25730514526367,-123.2429733276367,122,-9.239999771118164,-10.84000015258789
17,114.9700012207031,49.25729751586914,-123.2429428100586,122.1100006103516,-9.329999923706055,-11.02999973297119
18,114.9800033569336,49.25729370117188,-123.2429275512695,122.129997253418,-9.340000152587891,-11.14000034332275
19,114.9800033569336,49.25728607177734,-123.242919921875,122.1100006103516,-9.279999732971191,-11.31999969482422
20,114.9800033569336,49.25727844238281,-123.2429046630859,122.0899963378906,-9.199999809265137,-11.43000030517578
21,114.9800033569336,49.25727081298828,-123.2428817749023,122.1100006103516,-9.199999809265137,-11.56999969482422
22,114.9800033569336,49.25726318359375,-123.2428665161133,122.1699981689453,-9.25,-11.61999988555908
