index,altitude - sea level (m),latitude (degree),longitude (degree),yaw - north is zero (degree),roll (degree),pitch (degree)
1,114.0899963378906,49.25736236572266,-123.2431106567383,119.2099990844727,-9.550000190734863,5.75
2,114.5599975585938,49.25735855102539,-123.2431106567383,119.1399993896484,-11.02999973297119,6.699999809265137
3,114.6800003051758,49.25736236572266,-123.2431106567383,119.5299987792969,-10.85999965667725,4.690000057220459
4,114.870002746582,49.25735855102539,-123.2431106567383,118.9400024414062,-8.930000305175781,-1.570000052452087
5,114.9000015258789,49.25735855102539,-123.2430953979492,119.0800018310547,-8.779999732971191,-2.509999990463257
6,114.9400024414062,49.25735473632812,-123.2430877685547,124.2099990844727,-9.279999732971191,-4.53000020980835
7,114.9499969482422,49.25735092163086,-123.2430877685547,124.9300003051758,-9.569999694824219,-5.550000190734863
8,114.9499969482422,49.25734710693359,-123.2430725097656,123.5100021362305,-9.420000076293945,-7.420000076293945
9,114.9599990844727,49.25734329223633,-123.2430572509766,121.9499969482422,-8.979999542236328,-9.079999923706055
10,114.9599990844727,49.25733947753906,-123.2430572509766,121.5100021362305,-8.909999847412109,-9.539999961853027
11,114.9599990844727,49.2573356628418,-123.243049621582,122.0299987792969,-9.159999847412109,-9.670000076293945
12,114.9700012207031,49.25733184814453,-123.243034362793,122.5299987792969,-9.399999618530273,-9.859999656677246
13,114.9700012207031,49.25732421875,-123.2430191040039,122.5100021362305,-9.380000114440918,-10.14000034332275
14,114.9700012207031,49.25731658935547,-123.2430114746094,122.1999969482422,-9.260000228881836,-10.39000034332275
15,114.9700012207031,49.2573127746582,-123.2429809570312,121.9899978637695,-9.149999618530273,-10.64999961853027
16,114.9700012207031,49.25730514526367,-123.2429733276367,121.9899978637695,-9.229999542236328,-10.78999996185303
17,114.9700012207031,49.25729751586914,-123.2429580688477,122.120002746582,-9.289999961853027,-10.90999984741211
18,114.9700012207031,49.25729370117188,-123.2429428100586,122.1900024414062,-9.239999771118164,-10.98999977111816
19,114.9700012207031,49.25728607177734,-123.242919921875,122.2099990844727,-9.279999732971191,-11.18000030517578
20,114.9700012207031,49.25727844238281,-123.2429046630859,122.1800003051758,-9.289999961853027,-11.40999984741211
21,114.9800033569336,49.25727462768555,-123.2428894042969,122.1500015258789,-9.279999732971191,-11.46000003814697
22,114.9800033569336,49.25726699829102,-123.2428817749023,122.1800003051758,-9.239999771118164,-11.60999965667725
23,114.9800033569336,49.25725936889648,-123.2428512573242,122.2200012207031,-9.189999580383301,-11.68000030517578
24,114.9800033569336,49.25725555419922,-123.2428436279297,122.25,-9.170000076293945,-11.80000019073486
25,114.9800033569336,49.25724411010742,-123.2428131103516,122.2699966430664,-9.220000267028809,-11.86999988555908
26,114.9800033569336,49.25724029541016,-123.242805480957,122.2900009155273,-9.210000038146973,-11.9399995803833
27,114.9800033569336,49.25723266601562,-123.242790222168,122.3000030517578,-9.199999809265137,-11.9399995803833
28,114.9800033569336,49.25722503662109,-123.2427673339844,122.3199996948242,-9.229999542236328,-12.09000015258789
29,114.9800033569336,49.25721740722656,-123.2427520751953,122.3300018310547,-9.170000076293945,-12.1899995803833
30,114.9800033569336,49.25720977783203,-123.2427291870117,122.3300018310547,-9.199999809265137,-12.18000030517578
31,114.9899978637695,49.2572021484375,-123.2427139282227,122.3499984741211,-9.170000076293945,-12.18000030517578
32,114.9899978637695,49.25719451904297,-123.2426986694336,122.379997253418,-9.189999580383301,-12.27999973297119
33,114.9899978637695,49.25718688964844,-123.24267578125,122.370002746582,-9.210000038146973,-12.28999996185303
